movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1790062
霸王别姬,2,9.6,1320110
阿甘正传,3,9.5,1376257
这个杀手不太冷,4,9.4,1570867
美丽人生,5,9.5,880165
泰坦尼克号,6,9.4,1315306
千与千寻,7,9.3,1407622
辛德勒的名单,8,9.5,707102
盗梦空间,9,9.3,1337018
忠犬八公的故事,10,9.3,909227
海上钢琴师,11,9.3,1102704
机器人总动员,12,9.3,883631
三傻大闹宝莱坞,13,9.2,1219111
楚门的世界,14,9.3,963683
放牛班的春天,15,9.3,851143
星际穿越,16,9.3,977605
大话西游之大圣娶亲,17,9.2,955519
熔炉,18,9.3,579281
龙猫,19,9.2,824498
无间道,20,9.2,782205
疯狂动物城,21,9.2,1123522
教父,22,9.3,604989
当幸福来敲门,23,9.1,983317
怦然心动,24,9.0,1119154
触不可及,25,9.2,642926
movie_name,ranking,score,score_num
哈尔的移动城堡,41,9.0,631267
何以为家,42,9.1,515184
罗马假日,43,9.0,639796
素媛,44,9.2,381517
闻香识女人,45,9.0,553293
搏击俱乐部,46,9.0,590863
辩护人,47,9.2,386696
窃听风暴,48,9.1,376005
死亡诗社,49,9.1,456617
教父2,50,9.2,331383
指环王2：双塔奇兵,51,9.1,445597
狮子王,52,9.0,504230
疯狂动物城,21,9.2,1123522
教父,22,9.3,604989
当幸福来敲门,23,9.1,983317
两杆大烟枪,53,9.1,400190
飞越疯人院,54,9.1,403651
哈利·波特与魔法石,55,9.0,556617
我不是药神,61,9.0,1347311
黑客帝国,62,9.0,496667
怦然心动,24,9.0,1119154
触不可及,25,9.2,643441
蝙蝠侠：黑暗骑士,26,9.2,658498
活着,27,9.2,508608
海上钢琴师,11,9.3,1102704
机器人总动员,12,9.3,883631
指环王2：双塔奇兵,51,9.1,445597
指环王1：魔戒再现,56,9.0,501051
饮食男女,57,9.1,359470
大闹天宫,58,9.3,230715
美丽心灵,59,9.0,491656
摔跤吧！爸爸,31,9.0,986563
指环王3：王者无敌,32,9.2,483081
钢琴家,63,9.1,328398
本杰明·巴顿奇事,64,8.9,644974
海豚湾,65,9.3,266616
控方证人,28,9.6,240917
乱世佳人,29,9.3,438879
少年派的奇幻漂流,30,9.1,945540
摔跤吧！爸爸,31,9.0,986563
指环王3：王者无敌,32,9.2,483081
三傻大闹宝莱坞,13,9.2,1219111
楚门的世界,14,9.3,963683
放牛班的春天,15,9.3,851143
星际穿越,16,9.3,977605
狮子王,52,9.0,504230
两杆大烟枪,53,9.1,400190
飞越疯人院,54,9.1,403651
哈利·波特与魔法石,55,9.0,556617
指环王1：魔戒再现,56,9.0,501051
V字仇杀队,60,8.9,701636
我不是药神,61,9.0,1347311
黑客帝国,62,9.0,496667
钢琴家,63,9.1,328398
本杰明·巴顿奇事,64,8.9,644974
海豚湾,65,9.3,266616
飞屋环游记,33,9.0,869004
末代皇帝,34,9.2,434491
寻梦环游记,35,9.1,939645
十二怒汉,36,9.4,291452
鬼子来了,37,9.2,405895
天空之城,38,9.1,555371
肖申克的救赎,1,9.7,1790062
小鞋子,71,9.2,251269
拯救大兵瑞恩,72,9.0,414752
美国往事,73,9.2,276265
猫鼠游戏,66,9.0,485568
让子弹飞,67,8.8,1050628
看不见的客人,68,8.8,734478
情书,69,8.9,598001
飞屋环游记,33,9.0,869004
末代皇帝,34,9.2,434491
寻梦环游记,35,9.1,939645
十二怒汉,36,9.4,291452
大话西游之大圣娶亲,17,9.2,955519
熔炉,18,9.3,579281
龙猫,19,9.2,824498
无间道,20,9.2,782205
疯狂动物城,21,9.2,1123522
教父,22,9.3,604989
蝴蝶效应,81,8.8,605357
春光乍泄,82,8.9,408304
心灵捕手,83,8.9,450406
饮食男女,57,9.1,359470
大闹天宫,58,9.3,230715
美丽心灵,59,9.0,491656
V字仇杀队,60,8.9,701636
大话西游之月光宝盒,39,9.0,771496
天堂电影院,40,9.2,448806
哈尔的移动城堡,41,9.0,631267
何以为家,42,9.1,515184
霸王别姬,2,9.6,1320110
阿甘正传,3,9.5,1376257
这个杀手不太冷,4,9.4,1570867
美丽人生,5,9.5,880165
泰坦尼克号,6,9.4,1315306
千与千寻,7,9.3,1407622
音乐之声,74,9.0,382607
致命魔术,75,8.9,551704
穿条纹睡衣的男孩,76,9.1,306769
七宗罪,77,8.8,648926
低俗小说,78,8.8,551165
被嫌弃的松子的一生,79,8.9,493115
西西里的美丽传说,70,8.9,626640
小鞋子,71,9.2,251269
鬼子来了,37,9.2,405895
天空之城,38,9.1,555371
大话西游之月光宝盒,39,9.0,771496
天堂电影院,40,9.2,448806
哈尔的移动城堡,41,9.0,631267
何以为家,42,9.1,515184
当幸福来敲门,23,9.1,983317
怦然心动,24,9.0,1119154
触不可及,25,9.2,643441
蝙蝠侠：黑暗骑士,26,9.2,658498
活着,27,9.2,508608
控方证人,28,9.6,240917
禁闭岛,84,8.8,601577
布达佩斯大饭店,85,8.8,565394
勇敢的心,86,8.9,417918
剪刀手爱德华,87,8.7,739663
天使爱美丽,88,8.7,713929
阿凡达,89,8.7,874131
我不是药神,61,9.0,1347311
黑客帝国,62,9.0,496667
钢琴家,63,9.1,328398
本杰明·巴顿奇事,64,8.9,644974
加勒比海盗,91,8.7,577146
致命ID,92,8.8,504615
罗马假日,43,9.0,639796
素媛,44,9.2,381517
闻香识女人,45,9.0,553293
搏击俱乐部,46,9.0,590863
辩护人,47,9.2,386696
窃听风暴,48,9.1,376005
死亡诗社,49,9.1,456617
辛德勒的名单,8,9.5,707102
盗梦空间,9,9.3,1337018
忠犬八公的故事,10,9.3,909227
海上钢琴师,11,9.3,1102704
机器人总动员,12,9.3,883631
三傻大闹宝莱坞,13,9.2,1219111
沉默的羔羊,80,8.8,548163
蝴蝶效应,81,8.8,605357
春光乍泄,82,8.9,408304
心灵捕手,83,8.9,450406
禁闭岛,84,8.8,601577
布达佩斯大饭店,85,8.8,565394
拯救大兵瑞恩,72,9.0,414752
美国往事,73,9.2,276265
音乐之声,74,9.0,382607
致命魔术,75,8.9,551704
罗马假日,43,9.0,639796
素媛,44,9.2,381517
闻香识女人,45,9.0,553293
乱世佳人,29,9.3,438879
少年派的奇幻漂流,30,9.1,945540
摩登时代,90,9.3,175355
加勒比海盗,91,8.7,577146
致命ID,92,8.8,504615
海蒂和爷爷,93,9.2,195270
断背山,94,8.8,493800
海豚湾,65,9.3,266616
猫鼠游戏,66,9.0,485568
让子弹飞,67,8.8,1050628
看不见的客人,68,8.8,734478
情书,69,8.9,598001
西西里的美丽传说,70,8.9,626640
海蒂和爷爷,93,9.2,195270
断背山,94,8.8,493800
喜剧之王,95,8.7,591113
幽灵公主,96,8.9,363300
入殓师,97,8.8,426964
教父2,50,9.2,331383
指环王2：双塔奇兵,51,9.1,445597
狮子王,52,9.0,504230
两杆大烟枪,53,9.1,400190
飞越疯人院,54,9.1,403651
哈利·波特与魔法石,55,9.0,556617
楚门的世界,14,9.3,963683
放牛班的春天,15,9.3,851143
星际穿越,16,9.3,977605
大话西游之大圣娶亲,17,9.2,955519
熔炉,18,9.3,579281
龙猫,19,9.2,824498
无间道,20,9.2,782205
勇敢的心,86,8.9,417918
剪刀手爱德华,87,8.7,739663
天使爱美丽,88,8.7,713929
阿凡达,89,8.7,874131
摩登时代,90,9.3,175355
穿条纹睡衣的男孩,76,9.1,306769
七宗罪,77,8.8,648926
低俗小说,78,8.8,551165
被嫌弃的松子的一生,79,8.9,493115
沉默的羔羊,80,8.8,548163
摔跤吧！爸爸,31,9.0,986563
指环王3：王者无敌,32,9.2,483081
飞屋环游记,33,9.0,869004
末代皇帝,34,9.2,434491
寻梦环游记,35,9.1,939645
喜剧之王,95,8.7,591113
幽灵公主,96,8.9,363300
小鞋子,71,9.2,251269
拯救大兵瑞恩,72,9.0,414752
美国往事,73,9.2,276265
音乐之声,74,9.0,382607
致命魔术,75,8.9,551704
绿皮书,98,8.9,922712
阳光灿烂的日子,99,8.8,415503
狩猎,100,9.1,221068
重庆森林,101,8.7,520694
第六感,102,8.9,357297
疯狂动物城,21,9.2,1123522
教父,22,9.3,604989
当幸福来敲门,23,9.1,983317
怦然心动,24,9.0,1119154
加勒比海盗,91,8.7,577146
致命ID,92,8.8,504615
海蒂和爷爷,93,9.2,195270
蝴蝶效应,81,8.8,605357
春光乍泄,82,8.9,408304
心灵捕手,83,8.9,450406
入殓师,97,8.8,426964
绿皮书,98,8.9,922712
阳光灿烂的日子,99,8.8,415503
狩猎,100,9.1,221068
重庆森林,101,8.7,520694
杀人回忆,103,8.8,396688
小森林 夏秋篇,104,9.0,259586
请以你的名字呼唤我,105,8.9,382156
消失的爱人,106,8.7,584607
触不可及,25,9.2,643441
断背山,94,8.8,493800
喜剧之王,95,8.7,591113
禁闭岛,84,8.8,601577
布达佩斯大饭店,85,8.8,565394
第六感,102,8.9,357297
杀人回忆,103,8.8,396688
小森林 夏秋篇,104,9.0,259586
玛丽和马克思,107,8.9,311161
告白,108,8.7,505528
红辣椒,109,9.0,244157
爱在黎明破晓前,110,8.8,370540
一一,111,9.0,230036
请以你的名字呼唤我,105,8.9,382156
哈利·波特与死亡圣器(下),112,8.8,466109
7号房的礼物,113,8.9,320465
大鱼,114,8.8,382894
侧耳倾听,115,8.9,289659
